Bit Position,Bit description,Bit Type
610,C-O-C-O-C,Simple SMARTS Patterns
611,N-C-C-N-C,Simple SMARTS Patterns
612,N-C-O-C-C,Simple SMARTS Patterns
613,C-N-C-C-C,Simple SMARTS Patterns
614,C-C-O-C-C,Simple SMARTS Patterns
615,N-C-C-O-C,Simple SMARTS Patterns
616,C:C:N:N:C,Simple SMARTS Patterns
617,C-C-C-O-[#1],Simple SMARTS Patterns
618,C:C-C-C:C,Simple SMARTS Patterns
619,O-C-C=C-C,Simple SMARTS Patterns
620,C:C-O-C-C,Simple SMARTS Patterns
621,N-C:C:C:N,Simple SMARTS Patterns
622,O=C-O-C:C,Simple SMARTS Patterns
623,O=C-C:C-C,Simple SMARTS Patterns
624,O=C-C:C-N,Simple SMARTS Patterns
625,O=C-C:C-O,Simple SMARTS Patterns
626,C-O-C:C-C,Simple SMARTS Patterns
627,O=[As]-C:C:C,Simple SMARTS Patterns
628,C-N-C-C:C,Simple SMARTS Patterns
629,S-C:C:C-N,Simple SMARTS Patterns
630,O-C:C-O-C,Simple SMARTS Patterns
631,O-C:C-O-[#1],Simple SMARTS Patterns
632,C-C-O-C:C,Simple SMARTS Patterns
633,N-C-C:C-C,Simple SMARTS Patterns
634,C-C-C:C-C,Simple SMARTS Patterns
635,N-N-C-N-[#1],Simple SMARTS Patterns
636,C-N-C-N-C,Simple SMARTS Patterns
637,O-C-C-C-C,Simple SMARTS Patterns
638,O-C-C-C-N,Simple SMARTS Patterns
639,O-C-C-C-O,Simple SMARTS Patterns
640,C=C-C-C-C,Simple SMARTS Patterns
641,O-C-C-C=C,Simple SMARTS Patterns
642,O-C-C-C=O,Simple SMARTS Patterns
643,[#1]-C-C-N-[#1],Simple SMARTS Patterns
644,C-C=N-N-C,Simple SMARTS Patterns
645,O=C-N-C-C,Simple SMARTS Patterns
646,O=C-N-C-[#1],Simple SMARTS Patterns
647,O=C-N-C-N,Simple SMARTS Patterns
648,O=N-C:C-N,Simple SMARTS Patterns
649,O=N-C:C-O,Simple SMARTS Patterns
650,O=C-N-C=O,Simple SMARTS Patterns
651,O-C:C:C-C,Simple SMARTS Patterns
652,O-C:C:C-N,Simple SMARTS Patterns
653,O-C:C:C-O,Simple SMARTS Patterns
654,N-C-N-C-C,Simple SMARTS Patterns
655,O-C-C-C:C,Simple SMARTS Patterns
656,C-C-N-C-C,Simple SMARTS Patterns
657,C-N-C:C-C,Simple SMARTS Patterns
658,C-C-S-C-C,Simple SMARTS Patterns
659,O-C-C-N-C,Simple SMARTS Patterns
660,C-C=C-C-C,Simple SMARTS Patterns
661,O-C-O-C-C,Simple SMARTS Patterns
662,O-C-C-O-C,Simple SMARTS Patterns
663,O-C-C-O-[#1],Simple SMARTS Patterns
664,C-C=C-C=C,Simple SMARTS Patterns
665,N-C:C-C-C,Simple SMARTS Patterns
666,C=C-C-O-C,Simple SMARTS Patterns
667,C=C-C-O-[#1],Simple SMARTS Patterns
668,C-C:C-C-C,Simple SMARTS Patterns
669,Cl-C:C-C=O,Simple SMARTS Patterns
670,Br-C:C:C-C,Simple SMARTS Patterns
671,O=C-C=C-C,Simple SMARTS Patterns
672,O=C-C=C-[#1],Simple SMARTS Patterns
673,O=C-C=C-N,Simple SMARTS Patterns
674,N-C-N-C:C,Simple SMARTS Patterns
675,Br-C-C-C:C,Simple SMARTS Patterns
676,N#C-C-C-C,Simple SMARTS Patterns
677,C-C=C-C:C,Simple SMARTS Patterns
678,C-C-C=C-C,Simple SMARTS Patterns
679,C-C-C-C-C-C,Simple SMARTS Patterns
680,O-C-C-C-C-C,Simple SMARTS Patterns
681,O-C-C-C-C-O,Simple SMARTS Patterns
682,O-C-C-C-C-N,Simple SMARTS Patterns
683,N-C-C-C-C-C,Simple SMARTS Patterns
684,O=C-C-C-C-C,Simple SMARTS Patterns
685,O=C-C-C-C-N,Simple SMARTS Patterns
686,O=C-C-C-C-O,Simple SMARTS Patterns
687,O=C-C-C-C,Simple SMARTS Patterns
688,C-C-C-C-C-C-C,Simple SMARTS Patterns
689,O-C-C-C-C-C-C,Simple SMARTS Patterns
690,O-C-C-C-C-C-O,Simple SMARTS Patterns
691,O-C-C-C-C-C-N,Simple SMARTS Patterns
692,O=C-C-C-C-C-C,Simple SMARTS Patterns
693,O=C-C-C-C-C-O,Simple SMARTS Patterns
694,O=C-C-C-C-C=O,Simple SMARTS Patterns
695,O=C-C-C-C-C-N,Simple SMARTS Patterns
696,C-C-C-C-C-C-C-C,Simple SMARTS Patterns
697,C-C-C-C-C-C(C)-C,Simple SMARTS Patterns
698,O-C-C-C-C-C-C-C,Simple SMARTS Patterns
699,O-C-C-C-C-C(C)-C,Simple SMARTS Patterns
700,O-C-C-C-C-C-O-C,Simple SMARTS Patterns
701,O-C-C-C-C-C(O)-C,Simple SMARTS Patterns
702,O-C-C-C-C-C-N-C,Simple SMARTS Patterns
703,O-C-C-C-C-C(N)-C,Simple SMARTS Patterns
704,O=C-C-C-C-C-C-C,Simple SMARTS Patterns
705,O=C-C-C-C-C(O)-C,Simple SMARTS Patterns
706,O=C-C-C-C-C(=O)-C,Simple SMARTS Patterns
707,O=C-C-C-C-C(N)-C,Simple SMARTS Patterns
708,C-C(C)-C-C,Simple SMARTS Patterns
709,C-C(C)-C-C-C,Simple SMARTS Patterns
710,C-C-C(C)-C-C,Simple SMARTS Patterns
711,C-C(C)(C)-C-C,Simple SMARTS Patterns
712,C-C(C)-C(C)-C,Simple SMARTS Patterns
713,Cc1ccc(C)cc1,Complex SMARTS Patterns
714,Cc1ccc(O)cc1,Complex SMARTS Patterns
715,Cc1ccc(S)cc1,Complex SMARTS Patterns
716,Cc1ccc(N)cc1,Complex SMARTS Patterns
717,Cc1ccc(Cl)cc1,Complex SMARTS Patterns
718,Cc1ccc(Br)cc1,Complex SMARTS Patterns
719,Oc1ccc(O)cc1,Complex SMARTS Patterns
720,Oc1ccc(S)cc1,Complex SMARTS Patterns
721,Oc1ccc(N)cc1,Complex SMARTS Patterns
722,Oc1ccc(Cl)cc1,Complex SMARTS Patterns
723,Oc1ccc(Br)cc1,Complex SMARTS Patterns
724,Sc1ccc(S)cc1,Complex SMARTS Patterns
725,Sc1ccc(N)cc1,Complex SMARTS Patterns
726,Sc1ccc(Cl)cc1,Complex SMARTS Patterns
727,Sc1ccc(Br)cc1,Complex SMARTS Patterns
728,Nc1ccc(N)cc1,Complex SMARTS Patterns
729,Nc1ccc(Cl)cc1,Complex SMARTS Patterns
730,Nc1ccc(Br)cc1,Complex SMARTS Patterns
731,Clc1ccc(Cl)cc1,Complex SMARTS Patterns
732,Clc1ccc(Br)cc1,Complex SMARTS Patterns
733,Brc1ccc(Br)cc1,Complex SMARTS Patterns
734,Cc1cc(C)ccc1,Complex SMARTS Patterns
735,Cc1cc(O)ccc1,Complex SMARTS Patterns
736,Cc1cc(S)ccc1,Complex SMARTS Patterns
737,Cc1cc(N)ccc1,Complex SMARTS Patterns
738,Cc1cc(Cl)ccc1,Complex SMARTS Patterns
739,Cc1cc(Br)ccc1,Complex SMARTS Patterns
740,Oc1cc(O)ccc1,Complex SMARTS Patterns
741,Oc1cc(S)ccc1,Complex SMARTS Patterns
742,Oc1cc(N)ccc1,Complex SMARTS Patterns
743,Oc1cc(Cl)ccc1,Complex SMARTS Patterns
744,Oc1cc(Br)ccc1,Complex SMARTS Patterns
745,Sc1cc(S)ccc1,Complex SMARTS Patterns
746,Sc1cc(N)ccc1,Complex SMARTS Patterns
747,Sc1cc(Cl)ccc1,Complex SMARTS Patterns
748,Sc1cc(Br)ccc1,Complex SMARTS Patterns
749,Nc1cc(N)ccc1,Complex SMARTS Patterns
750,Nc1cc(Cl)ccc1,Complex SMARTS Patterns
751,Nc1cc(Br)ccc1,Complex SMARTS Patterns
752,Clc1cc(Cl)ccc1,Complex SMARTS Patterns
753,Clc1cc(Br)ccc1,Complex SMARTS Patterns
754,Brc1cc(Br)ccc1,Complex SMARTS Patterns
755,Cc1c(C)cccc1,Complex SMARTS Patterns
756,Cc1c(O)cccc1,Complex SMARTS Patterns
757,Cc1c(S)cccc1,Complex SMARTS Patterns
758,Cc1c(N)cccc1,Complex SMARTS Patterns
759,Cc1c(Cl)cccc1,Complex SMARTS Patterns
760,Cc1c(Br)cccc1,Complex SMARTS Patterns
761,Oc1c(O)cccc1,Complex SMARTS Patterns
762,Oc1c(S)cccc1,Complex SMARTS Patterns
763,Oc1c(N)cccc1,Complex SMARTS Patterns
764,Oc1c(Cl)cccc1,Complex SMARTS Patterns
765,Oc1c(Br)cccc1,Complex SMARTS Patterns
766,Sc1c(S)cccc1,Complex SMARTS Patterns
767,Sc1c(N)cccc1,Complex SMARTS Patterns
768,Sc1c(Cl)cccc1,Complex SMARTS Patterns
769,Sc1c(Br)cccc1,Complex SMARTS Patterns
770,Nc1c(N)cccc1,Complex SMARTS Patterns
771,Nc1c(Cl)cccc1,Complex SMARTS Patterns
772,Nc1c(Br)cccc1,Complex SMARTS Patterns
773,Clc1c(Cl)cccc1,Complex SMARTS Patterns
774,Clc1c(Br)cccc1,Complex SMARTS Patterns
775,Brc1c(Br)cccc1,Complex SMARTS Patterns
776,CC1CCC(C)CC1,Complex SMARTS Patterns
777,CC1CCC(O)CC1,Complex SMARTS Patterns
778,CC1CCC(S)CC1,Complex SMARTS Patterns
779,CC1CCC(N)CC1,Complex SMARTS Patterns
780,CC1CCC(Cl)CC1,Complex SMARTS Patterns
781,CC1CCC(Br)CC1,Complex SMARTS Patterns
782,OC1CCC(O)CC1,Complex SMARTS Patterns
783,OC1CCC(S)CC1,Complex SMARTS Patterns
784,OC1CCC(N)CC1,Complex SMARTS Patterns
785,OC1CCC(Cl)CC1,Complex SMARTS Patterns
786,OC1CCC(Br)CC1,Complex SMARTS Patterns
787,SC1CCC(S)CC1,Complex SMARTS Patterns
788,SC1CCC(N)CC1,Complex SMARTS Patterns
789,SC1CCC(Cl)CC1,Complex SMARTS Patterns
790,SC1CCC(Br)CC1,Complex SMARTS Patterns
791,NC1CCC(N)CC1,Complex SMARTS Patterns
792,NC1CCC(Cl)CC1,Complex SMARTS Patterns
793,NC1CCC(Br)CC1,Complex SMARTS Patterns
794,ClC1CCC(Cl)CC1,Complex SMARTS Patterns
795,ClC1CCC(Br)CC1,Complex SMARTS Patterns
796,BrC1CCC(Br)CC1,Complex SMARTS Patterns
797,CC1CC(C)CCC1,Complex SMARTS Patterns
798,CC1CC(O)CCC1,Complex SMARTS Patterns
799,CC1CC(S)CCC1,Complex SMARTS Patterns
800,CC1CC(N)CCC1,Complex SMARTS Patterns
801,CC1CC(Cl)CCC1,Complex SMARTS Patterns
802,CC1CC(Br)CCC1,Complex SMARTS Patterns
803,OC1CC(O)CCC1,Complex SMARTS Patterns
804,OC1CC(S)CCC1,Complex SMARTS Patterns
805,OC1CC(N)CCC1,Complex SMARTS Patterns
806,OC1CC(Cl)CCC1,Complex SMARTS Patterns
807,OC1CC(Br)CCC1,Complex SMARTS Patterns
808,SC1CC(S)CCC1,Complex SMARTS Patterns
809,SC1CC(N)CCC1,Complex SMARTS Patterns
810,SC1CC(Cl)CCC1,Complex SMARTS Patterns
811,SC1CC(Br)CCC1,Complex SMARTS Patterns
812,NC1CC(N)CCC1,Complex SMARTS Patterns
813,NC1CC(Cl)CCC1,Complex SMARTS Patterns
814,NC1CC(Br)CCC1,Complex SMARTS Patterns
815,ClC1CC(Cl)CCC1,Complex SMARTS Patterns
816,ClC1CC(Br)CCC1,Complex SMARTS Patterns
817,BrC1CC(Br)CCC1,Complex SMARTS Patterns
818,CC1C(C)CCCC1,Complex SMARTS Patterns
819,CC1C(O)CCCC1,Complex SMARTS Patterns
820,CC1C(S)CCCC1,Complex SMARTS Patterns
821,CC1C(N)CCCC1,Complex SMARTS Patterns
822,CC1C(Cl)CCCC1,Complex SMARTS Patterns
823,CC1C(Br)CCCC1,Complex SMARTS Patterns
824,OC1C(O)CCCC1,Complex SMARTS Patterns
825,OC1C(S)CCCC1,Complex SMARTS Patterns
826,OC1C(N)CCCC1,Complex SMARTS Patterns
827,OC1C(Cl)CCCC1,Complex SMARTS Patterns
828,OC1C(Br)CCCC1,Complex SMARTS Patterns
829,SC1C(S)CCCC1,Complex SMARTS Patterns
830,SC1C(N)CCCC1,Complex SMARTS Patterns
831,SC1C(Cl)CCCC1,Complex SMARTS Patterns
832,SC1C(Br)CCCC1,Complex SMARTS Patterns
833,NC1C(N)CCCC1,Complex SMARTS Patterns
834,NC1C(Cl)CCCC1,Complex SMARTS Patterns
835,NC1C(Br)CCCC1,Complex SMARTS Patterns
836,ClC1C(Cl)CCCC1,Complex SMARTS Patterns
837,ClC1C(Br)CCCC1,Complex SMARTS Patterns
838,BrC1C(Br)CCCC1,Complex SMARTS Patterns
839,CC1CC(C)CC1,Complex SMARTS Patterns
840,CC1CC(O)CC1,Complex SMARTS Patterns
841,CC1CC(S)CC1,Complex SMARTS Patterns
842,CC1CC(N)CC1,Complex SMARTS Patterns
843,CC1CC(Cl)CC1,Complex SMARTS Patterns
844,CC1CC(Br)CC1,Complex SMARTS Patterns
845,OC1CC(O)CC1,Complex SMARTS Patterns
846,OC1CC(S)CC1,Complex SMARTS Patterns
847,OC1CC(N)CC1,Complex SMARTS Patterns
848,OC1CC(Cl)CC1,Complex SMARTS Patterns
849,OC1CC(Br)CC1,Complex SMARTS Patterns
850,SC1CC(S)CC1,Complex SMARTS Patterns
851,SC1CC(N)CC1,Complex SMARTS Patterns
852,SC1CC(Cl)CC1,Complex SMARTS Patterns
853,SC1CC(Br)CC1,Complex SMARTS Patterns
854,NC1CC(N)CC1,Complex SMARTS Patterns
855,NC1CC(Cl)CC1,Complex SMARTS Patterns
856,NC1CC(Br)CC1,Complex SMARTS Patterns
857,ClC1CC(Cl)CC1,Complex SMARTS Patterns
858,ClC1CC(Br)CC1,Complex SMARTS Patterns
859,BrC1CC(Br)CC1,Complex SMARTS Patterns
860,CC1C(C)CCC1,Complex SMARTS Patterns
861,CC1C(O)CCC1,Complex SMARTS Patterns
862,CC1C(S)CCC1,Complex SMARTS Patterns
863,CC1C(N)CCC1,Complex SMARTS Patterns
864,CC1C(Cl)CCC1,Complex SMARTS Patterns
865,CC1C(Br)CCC1,Complex SMARTS Patterns
866,OC1C(O)CCC1,Complex SMARTS Patterns
867,OC1C(S)CCC1,Complex SMARTS Patterns
868,OC1C(N)CCC1,Complex SMARTS Patterns
869,OC1C(Cl)CCC1,Complex SMARTS Patterns
870,OC1C(Br)CCC1,Complex SMARTS Patterns
871,SC1C(S)CCC1,Complex SMARTS Patterns
872,SC1C(N)CCC1,Complex SMARTS Patterns
873,SC1C(Cl)CCC1,Complex SMARTS Patterns
874,SC1C(Br)CCC1,Complex SMARTS Patterns
875,NC1C(N)CCC1,Complex SMARTS Patterns
876,NC1C(Cl)CCC1,Complex SMARTS Patterns
877,NC1C(Br)CCC1,Complex SMARTS Patterns
878,ClC1C(Cl)CCC1,Complex SMARTS Patterns
879,ClC1C(Br)CCC1,Complex SMARTS Patterns
880,BrC1C(Br)CCC1,Complex SMARTS Patterns